date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:31	148/148	---MCZ	200	added ('OK')	text/plain	date:Tue,%2004%20Jun%202024%2019:31:44%20GMT	https://www.gladiatorhomeimprovement.com/robots.txt		(from )
18:50:32	79649/79649	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:31%20GMT	https://www.gladiatorhomeimprovement.com/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/index.html	(from )
18:50:32	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2004%20Jun%202024%2023:50:32%20GMT	https://www.gladiatorhomeimprovement.com/xmlrpc.php	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/xmlrpc.php	(from https://www.gladiatorhomeimprovement.com/)
18:50:34	113381/113381	---MCZ	200	added ('OK')	text/css	etag:W/%2265ddf637-1bae5%22	https://www.gladiatorhomeimprovement.com/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-includes/css/dist/block-library/style.minef10.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:35	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22660af426-b4e%22	https://www.gladiatorhomeimprovement.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:35	25785/25785	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229d9d545fb343ca07618978d6aac3c582%22	https://www.gladiatorhomeimprovement.com/feed/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/feed/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:35	2634/2634	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229d9d545fb343ca07618978d6aac3c582%22	https://www.gladiatorhomeimprovement.com/comments/feed/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/comments/feed/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:35	738/738	---MCZ	200	added ('OK')	text/css	etag:W/%22660af434-2e2%22	https://www.gladiatorhomeimprovement.com/wp-content/plugins/honeypot/includes/css/wpa.css?ver=2.1.18	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/plugins/honeypot/includes/css/wpa761a.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:38	316/316	---MCZ	200	added ('OK')	text/css	etag:W/%22660af42e-13c%22	https://www.gladiatorhomeimprovement.com/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min.css?ver=1.1	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min4963.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:39	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://www.gladiatorhomeimprovement.com/wp-includes/css/dashicons.min.css?ver=6.5.3	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-includes/css/dashicons.minef10.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:40	333031/333031	---MCZ	200	added ('OK')	text/css	etag:W/%226503292f-514e7%22	https://www.gladiatorhomeimprovement.com/wp-content/plugins/my-reviews/build/style-index.css?ver=1.0.0	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/plugins/my-reviews/build/style-index8a54.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:40	504/504	---MCZ	200	added ('OK')	text/css	etag:W/%2265417a8b-1f8%22	https://www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/style.css?ver=1698790027	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/style363c.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:41	403786/403786	---MCZ	200	added ('OK')	text/css	etag:W/%2265417a8b-6294a%22	https://www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/css/bundle-5b1e4e306a.css?ver=6.5.3	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/css/bundle-5b1e4e306aef10.css	(from https://www.gladiatorhomeimprovement.com/)
18:50:42	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://www.gladiatorhomeimprovement.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.gladiatorhomeimprovement.com/)
18:50:42	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://www.gladiatorhomeimprovement.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.gladiatorhomeimprovement.com/)
18:50:44	8852/8852	---MCZ	200	added ('OK')	application/json	date:Tue,%2004%20Jun%202024%2023:50:43%20GMT	https://www.gladiatorhomeimprovement.com/wp-json/wp/v2/pages/6	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-json/wp/v2/pages/6.json	(from https://www.gladiatorhomeimprovement.com/)
18:50:44	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2004%20Jun%202024%2023:50:44%20GMT	https://www.gladiatorhomeimprovement.com/xmlrpc.php?rsd	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/xmlrpc0db0.php	(from https://www.gladiatorhomeimprovement.com/)
18:50:45	212497/212497	---MCZ	200	added ('OK')	application/json	date:Tue,%2004%20Jun%202024%2023:50:44%20GMT	https://www.gladiatorhomeimprovement.com/wp-json/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-json/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:45	2571/2571	---MCZ	200	added ('OK')	application/json	date:Tue,%2004%20Jun%202024%2023:50:45%20GMT	https://www.gladiatorhomeimprovement.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.gladiatorhomeimprovement.com%2F	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-json/oembed/1.0/embed94d6.json	(from https://www.gladiatorhomeimprovement.com/)
18:50:46	2778/2778	---MCZ	200	added ('OK')	text/xml	date:Tue,%2004%20Jun%202024%2023:50:46%20GMT	https://www.gladiatorhomeimprovement.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.gladiatorhomeimprovement.com%2F&format=xml	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-json/oembed/1.0/embed1bd5	(from https://www.gladiatorhomeimprovement.com/)
18:50:47	644/644	---M--	200	added ('OK')	image/webp	etag:%2265668ad7-284%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/cropped-favicon-32x32.webp	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/cropped-favicon-32x32.webp	(from https://www.gladiatorhomeimprovement.com/)
18:50:48	5662/5662	---M--	200	added ('OK')	image/webp	etag:%2265668ad7-161e%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/cropped-favicon-192x192.webp	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/cropped-favicon-192x192.webp	(from https://www.gladiatorhomeimprovement.com/)
18:50:49	5208/5208	---M--	200	added ('OK')	image/webp	etag:%2265668ad7-1458%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/cropped-favicon-180x180.webp	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/cropped-favicon-180x180.webp	(from https://www.gladiatorhomeimprovement.com/)
18:50:51	27689/27689	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660b21fc-6c29%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2024/04/GHI-New-Logo.svg	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2024/04/GHI-New-Logo.svg	(from https://www.gladiatorhomeimprovement.com/)
18:50:52	27189/27189	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660b221b-6a35%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2024/04/GHI-Black-Logo.svg	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2024/04/GHI-Black-Logo.svg	(from https://www.gladiatorhomeimprovement.com/)
18:50:52	599/599	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265417a8b-257%22	https://www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/info-icon.svg	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/info-icon.svg	(from https://www.gladiatorhomeimprovement.com/)
18:50:53	206/206	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265417a8b-ce%22	https://www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/close.svg	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/close.svg	(from https://www.gladiatorhomeimprovement.com/)
18:50:54	521/521	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265417a8b-209%22	https://www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/email-Icon.svg	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/email-Icon.svg	(from https://www.gladiatorhomeimprovement.com/)
18:50:55	56460/56460	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:55%20GMT	https://www.gladiatorhomeimprovement.com/interior-painter/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/interior-painter/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:55	67479/67479	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:55%20GMT	https://www.gladiatorhomeimprovement.com/about/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/about/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:55	57563/57563	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:55%20GMT	https://www.gladiatorhomeimprovement.com/exterior-painter/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/exterior-painter/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:55	56756/56756	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:55%20GMT	https://www.gladiatorhomeimprovement.com/deck-staining-service/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/deck-staining-service/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:56	586/586	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265417a8b-24a%22	https://www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/phone.svg	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/themes/theme-echo/dist/images/temp/phone.svg	(from https://www.gladiatorhomeimprovement.com/)
18:50:57	62959/62959	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:57%20GMT	https://www.gladiatorhomeimprovement.com/meet-the-team/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/meet-the-team/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:57	66483/66483	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:57%20GMT	https://www.gladiatorhomeimprovement.com/areas-we-serve/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/areas-we-serve/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:57	55534/55534	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:57%20GMT	https://www.gladiatorhomeimprovement.com/wood-rot-repair/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wood-rot-repair/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:50:57	55955/55955	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:57%20GMT	https://www.gladiatorhomeimprovement.com/gutter-cleaning-services/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/gutter-cleaning-services/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:51:00	70898/70898	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:59%20GMT	https://www.gladiatorhomeimprovement.com/gallery/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/gallery/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:51:00	60977/60977	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2023:50:59%20GMT	https://www.gladiatorhomeimprovement.com/contact/	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/contact/index.html	(from https://www.gladiatorhomeimprovement.com/)
18:51:01	187310/187310	---M--	200	added ('OK')	image/webp	etag:%2265668a27-2dbae%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/front-of-a-house-exterior-painting.webp	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2023/11/front-of-a-house-exterior-painting.webp	(from https://www.gladiatorhomeimprovement.com/)
18:51:01	274234/274234	---M--	200	added ('OK')	image/webp	etag:%22659d7802-42f3a%22	https://www.gladiatorhomeimprovement.com/wp-content/uploads/2024/01/grey-house-with-white-trim.webp	/Users/bigmakk/websites/gladiatorhomeimprovement/www.gladiatorhomeimprovement.com/wp-content/uploads/2024/01/grey-house-with-white-trim.webp	(from https://www.gladiatorhomeimprovement.com/)
